,PLAYER,POS,FPTS,VOR,VALUERANK
117,Marvin Hall,WR,33.699999999999996,-116.4,358.5
98,Ty Montgomery,RB,23.1,-116.4,358.5
107,Antony Auclair,TE,9.75,-116.55000000000001,360.0
99,Andy Janovich,RB,22.700000000000003,-116.8,361.0
119,Kalif Raymond,WR,33.15,-116.94999999999999,362.0
123,Auden Tate,WR,33.05,-117.05,363.0
124,Malik Turner,WR,32.7,-117.39999999999999,364.0
110,Eric Saubert,TE,8.7,-117.60000000000001,365.0
108,Johnny Mundt,TE,8.65,-117.65,366.0
113,Robert Tonyan,TE,8.55,-117.75000000000001,367.0
111,Isaac Nauta,TE,8.5,-117.80000000000001,368.0
112,Stephen Carlson,TE,8.35,-117.95000000000002,369.5
109,Ross Dwelley,TE,8.35,-117.95000000000002,369.5
114,Hale Hentges,TE,8.2,-118.10000000000001,371.0
118,Dante Pettis,WR,31.8,-118.3,372.0
115,Xavier Grimble,TE,7.85,-118.45000000000002,373.0
116,Ross Travis,TE,7.449999999999999,-118.85000000000001,374.0
100,Karan Higdon,RB,20.6,-118.9,375.0
122,Cordarrelle Patterson,WR,31.15,-118.94999999999999,376.0
101,Jordan Wilkins,RB,20.4,-119.1,377.0
102,Eno Benjamin,RB,20.25,-119.25,378.0
117,Daniel Brown,TE,7.0,-119.30000000000001,379.0
118,Stephen Anderson,TE,6.95,-119.35000000000001,380.0
125,J.J. Arcega-Whiteside,WR,30.599999999999998,-119.5,381.0
106,Devontae Booker,RB,19.900000000000002,-119.6,382.0
120,Lee Smith,TE,6.7,-119.60000000000001,383.0
119,Mason Schreck,TE,6.65,-119.65,384.0
121,Zach Gentry,TE,6.25,-120.05000000000001,385.0
105,Bo Scarbrough,RB,19.2,-120.3,386.0
104,Kerrith Whyte Jr.,RB,19.05,-120.45,387.0
109,Kalen Ballage,RB,18.9,-120.6,388.0
107,Jason Huntley,RB,18.85,-120.65,389.0
126,Rashard Higgins,WR,29.4,-120.69999999999999,390.0
108,Dalyn Dawkins,RB,18.35,-121.15,391.0
122,Cethan Carter,TE,5.1,-121.20000000000002,392.0
123,Colby Parkinson,TE,4.6,-121.70000000000002,393.0
124,Darrell Daniels,TE,4.45,-121.85000000000001,394.5
125,Jason Croom,TE,4.449999999999999,-121.85000000000001,394.5
126,Temarrick Hemingway,TE,3.55,-122.75000000000001,396.0
130,Javon Wims,WR,27.25,-122.85,397.0
110,Dontrell Hilliard,RB,16.45,-123.05,398.5
131,Geremy Davis,WR,27.05,-123.05,398.5
127,Jordan Franks,TE,3.15,-123.15,400.0
128,Dontrelle Inman,WR,26.85,-123.25,401.5
114,Ameer Abdullah,RB,16.25,-123.25,401.5
113,Mike Davis,RB,16.05,-123.45,403.0
129,Laquon Treadwell,WR,26.6,-123.5,404.0
128,Evan Baylis,TE,2.6500000000000004,-123.65,405.0
129,Alex Ellis,TE,2.4,-123.9,406.5
115,Travis Homer,RB,15.6,-123.9,406.5
111,Peyton Barber,RB,15.5,-124.0,408.0
130,Cole Hikutini,TE,2.3,-124.00000000000001,409.0
132,Riley Ridley,WR,25.950000000000003,-124.14999999999999,410.0
112,Qadree Ollison,RB,15.25,-124.25,411.0
127,Richie James,WR,25.650000000000002,-124.44999999999999,412.0
133,Gary Jennings Jr.,WR,25.6,-124.5,413.0
131,Jason Vander Laan,TE,1.3,-125.00000000000001,414.0
116,Trayveon Williams,RB,14.45,-125.05,415.0
118,T.J. Yeldon,RB,14.4,-125.1,416.0
119,Devine Ozigbo,RB,14.35,-125.15,417.0
136,Alex Erickson,WR,24.6,-125.5,418.0
134,Vyncint Smith,WR,23.9,-126.19999999999999,419.0
135,Tim Patrick,WR,23.849999999999998,-126.25,420.5
121,Alec Ingold,RB,13.25,-126.25,420.5
139,Hunter Bryant,TE,0.0,-126.30000000000001,426.5
138,Kendall Blanton,TE,0.0,-126.30000000000001,426.5
135,Garrett Dickerson,TE,0.0,-126.30000000000001,426.5
137,Thaddeus Moss,TE,0.0,-126.30000000000001,426.5
132,Charles Jones,TE,0.0,-126.30000000000001,426.5
133,Brandon Dillon,TE,0.0,-126.30000000000001,426.5
136,Tyler Davis,TE,0.0,-126.30000000000001,426.5
140,Jared Pinkney,TE,0.0,-126.30000000000001,426.5
134,Cole Wick,TE,0.0,-126.30000000000001,426.5
141,Caleb Wilson,TE,0.0,-126.30000000000001,426.5
117,Darius Anderson,RB,13.15,-126.35,432.0
137,Jamal Agnew,WR,23.35,-126.75,433.0
139,Damiere Byrd,WR,23.1,-127.0,434.0
120,D'Ernest Johnson,RB,12.399999999999999,-127.1,435.0
141,Christian Blake,WR,22.45,-127.64999999999999,436.0
142,DaeSean Hamilton,WR,22.4,-127.69999999999999,437.0
122,Wayne Gallman,RB,11.799999999999999,-127.7,438.0
138,Tavon Austin,WR,21.900000000000002,-128.2,439.5
140,Nelson Agholor,WR,21.9,-128.2,439.5
123,Elijhaa Penny,RB,11.25,-128.25,441.0
125,Khari Blasingame,RB,11.149999999999999,-128.35,442.0
143,Cody Latimer,WR,21.099999999999998,-129.0,443.0
127,Buddy Howell,RB,10.25,-129.25,444.0
144,Braxton Berrios,WR,20.75,-129.35,445.5
124,James Robinson,RB,10.15,-129.35,445.5
126,Alex Armah,RB,10.049999999999999,-129.45,447.0
134,Patrick Ricard,RB,10.0,-129.5,448.0
146,Isaiah McKenzie,WR,20.55,-129.54999999999998,449.5
145,KeeSean Johnson,WR,20.55,-129.54999999999998,449.5
130,Derek Watt,RB,9.85,-129.65,451.0
147,Victor Bolden Jr.,WR,20.2,-129.9,452.0
132,Wendell Smallwood,RB,9.25,-130.25,453.0
148,Taywan Taylor,WR,19.75,-130.35,454.0
128,JaMycal Hasty,RB,9.05,-130.45,455.0
135,Bobby Holly,RB,8.899999999999999,-130.6,456.0
150,Pharoh Cooper,WR,19.450000000000003,-130.64999999999998,457.0
149,Gabriel Davis,WR,19.4,-130.7,458.0
129,Jordan Scarlett,RB,8.65,-130.85,460.0
152,Devin Smith,WR,19.25,-130.85,460.0
131,Ty Johnson,RB,8.65,-130.85,460.0
151,Quintez Cephus,WR,19.200000000000003,-130.89999999999998,462.0
153,K.J. Hill,WR,18.95,-131.15,463.0
154,Seth Roberts,WR,18.8,-131.29999999999998,464.0
133,Rod Smith,RB,7.95,-131.55,465.0
155,Hakeem Butler,WR,18.450000000000003,-131.64999999999998,466.0
137,Kenneth Dixon,RB,7.8500000000000005,-131.65,467.0
138,Keith Smith,RB,7.75,-131.75,468.0
140,Anthony Sherman,RB,7.699999999999999,-131.8,469.0
157,Damion Ratley,WR,18.2,-131.9,470.0
136,Rodney Anderson,RB,7.4,-132.1,471.0
156,Chad Beebe,WR,17.75,-132.35,472.0
142,Patrick DiMarco,RB,7.1,-132.4,473.5
139,Tyler Ervin,RB,7.1,-132.4,473.5
143,Andrew Beck,RB,7.050000000000001,-132.45,475.0
158,Olamide Zaccheaus,WR,17.15,-132.95,476.0
148,Roosevelt Nix,RB,6.199999999999999,-133.3,477.0
141,John Kelly,RB,6.1499999999999995,-133.35,478.0
147,Nick Bellore,RB,5.95,-133.55,479.0
162,Andre Roberts,WR,16.4,-133.7,480.0
159,Deonte Harris,WR,16.35,-133.75,481.5
161,Darrius Shepherd,WR,16.349999999999998,-133.75,481.5
164,Josh Malone,WR,16.3,-133.79999999999998,483.0
144,Taiwan Jones,RB,5.7,-133.8,484.0
160,Marcus Johnson,WR,16.2,-133.9,485.0
165,Mack Hollins,WR,16.150000000000002,-133.95,486.0
167,Ryan Switzer,WR,16.0,-134.1,487.0
