,PLAYER,POS,FPTS,VOR,VALUERANK
178,KaVontae Turpin,WR,13.8,-104.25,459.5
184,Denzel Mims,WR,13.75,-104.3,462.0
182,Jeff Smith,WR,13.75,-104.3,462.0
98,Ben Ellefson,TE,11.7,-104.3,462.0
187,Racey McMath,WR,13.7,-104.35,464.0
100,Eric Tomlinson,TE,11.600000000000001,-104.4,465.0
148,Mekhi Sargent,RB,4.55,-104.45,466.0
188,Justin Watson,WR,13.55,-104.5,467.0
189,Tyron Johnson,WR,13.5,-104.55,468.5
101,Tanner Hudson,TE,11.45,-104.55,468.5
103,Tommy Sweeney,TE,11.25,-104.75,470.5
186,Kendall Hinton,WR,13.3,-104.75,470.5
102,Jesper Horsted,TE,11.2,-104.8,472.0
190,Miles Boykin,WR,13.149999999999999,-104.9,473.0
191,Nsimba Webster,WR,13.05,-105.0,474.0
192,Andre Roberts,WR,12.8,-105.25,475.0
193,DeAndre Carter,WR,12.55,-105.5,476.0
104,Hunter Long,TE,10.35,-105.65,477.0
105,Colby Parkinson,TE,10.2,-105.8,478.0
106,Eric Saubert,TE,9.9,-106.1,479.0
194,Jalen Virgil,WR,11.85,-106.2,480.0
149,Zander Horvath,RB,2.7,-106.3,481.0
195,Tre'Quan Smith,WR,11.649999999999999,-106.4,482.0
196,David Sills V,WR,11.4,-106.64999999999999,483.0
107,Reggie Gilliam,TE,8.6,-107.4,484.0
197,Greg Dortch,WR,10.100000000000001,-107.94999999999999,485.0
198,Stanley Morgan Jr.,WR,9.85,-108.2,486.0
108,Jeremy Ruckert,TE,7.65,-108.35,487.0
201,Mike Thomas,WR,9.6,-108.45,488.5
199,Cameron Batson,WR,9.6,-108.45,488.5
109,Colin Thompson,TE,7.449999999999999,-108.55,490.5
200,Cody Thompson,WR,9.5,-108.55,490.5
110,Stephen Sullivan,TE,7.35,-108.65,492.0
111,Jake Tonges,TE,7.1,-108.9,493.5
112,Jesse James,TE,7.1,-108.9,493.5
151,Taiwan Jones,RB,0.0,-109.0,498.5
150,Malik Davis,RB,0.0,-109.0,498.5
152,Jason Huntley,RB,0.0,-109.0,498.5
153,Damarea Crockett,RB,0.0,-109.0,498.5
154,Jaret Patterson,RB,0.0,-109.0,498.5
155,John Lovett,RB,0.0,-109.0,498.5
156,Larry Rountree III,RB,0.0,-109.0,498.5
157,Spencer Brown,RB,0.0,-109.0,498.5
29,Mitch Trubisky,QB,189.0,-109.60000000000002,503.0
202,Travis Fulgham,WR,8.15,-109.89999999999999,504.0
203,Marquez Stevenson,WR,7.85,-110.2,505.0
209,Dennis Houston,WR,7.7,-110.35,506.0
204,Trenton Irwin,WR,7.55,-110.5,507.5
113,Charlie Kolar,TE,5.5,-110.5,507.5
114,Josh Oliver,TE,5.3999999999999995,-110.6,509.0
205,Andy Isabella,WR,7.4,-110.64999999999999,510.0
207,N'Keal Harry,WR,7.2,-110.85,511.0
115,Charlie Woerner,TE,5.1,-110.9,512.0
206,Malik Turner,WR,7.05,-111.0,513.0
208,River Cracraft,WR,6.95,-111.1,514.0
212,Isaiah Coulter,WR,6.4,-111.64999999999999,515.0
116,Cole Turner,TE,4.35,-111.65,516.0
211,Gunner Olszewski,WR,6.3500000000000005,-111.7,517.5
210,Dante Pettis,WR,6.3500000000000005,-111.7,517.5
213,Jaelon Darden,WR,6.25,-111.8,519.0
215,Jared Bernhardt,WR,6.199999999999999,-111.85,520.0
214,Jake Kumerow,WR,6.1,-111.95,521.0
117,Quintin Morris,TE,3.95,-112.05,522.0
118,Tanner Conner,TE,3.8499999999999996,-112.15,523.0
218,Bisi Johnson,WR,5.85,-112.2,524.0
119,Mitchell Wilcox,TE,3.6999999999999997,-112.3,525.0
120,Shane Zylstra,TE,3.6,-112.4,526.0
216,Dax Milne,WR,5.15,-112.89999999999999,527.0
217,Steven Sims Jr.,WR,5.050000000000001,-113.0,528.0
219,Frank Darby,WR,4.75,-113.3,529.0
220,Brandon Powell,WR,4.3,-113.75,530.0
221,Lance McCutcheon,WR,4.0,-114.05,531.0
121,Cethan Carter,TE,1.8499999999999999,-114.15,532.0
124,Jared Pinkney,TE,0.0,-116.0,535.0
122,J.P. Holtz,TE,0.0,-116.0,535.0
123,Troy Fumagalli,TE,0.0,-116.0,535.0
126,Miller Forristall,TE,0.0,-116.0,535.0
125,Jordan Franks,TE,0.0,-116.0,535.0
228,Josh Gordon,WR,0.0,-118.05,543.0
